iter	PRAUC	Logloss
570	0.9597224693	0.255954453
571	0.9597875996	0.2557687647
572	0.9598918139	0.2553996574
573	0.9599245665	0.2553043808
574	0.9599610797	0.2551946646
575	0.9600639563	0.2548819164
576	0.9600668856	0.2548732813
577	0.9601164547	0.2547225263
578	0.9601906829	0.2544818878
579	0.9602334012	0.2543421774
580	0.9602409632	0.2542893012
581	0.9602767777	0.2542085273
582	0.9603306261	0.2540295068
583	0.9604037829	0.2538530254
584	0.9604554805	0.253698863
585	0.9604877649	0.2536019535
586	0.9605419577	0.2534407056
587	0.9605957958	0.2532244023
588	0.9606930706	0.252920755
589	0.9607646491	0.2526604775
590	0.9608081006	0.2525240318
591	0.9608817711	0.2523075262
592	0.9609847823	0.2519826273
593	0.9610489037	0.2518187678
594	0.9610679479	0.2517329944
595	0.9610683353	0.2517306718
596	0.9611341968	0.2515406571
597	0.9611812195	0.251423233
598	0.9612043557	0.2513676112
599	0.9612662316	0.2511667512
600	0.9613000709	0.2510627808
601	0.9613633375	0.2508739295
602	0.9614023489	0.2507266601
603	0.9614621233	0.2505017636
604	0.9615264621	0.2502854379
605	0.9615623689	0.2501628813
606	0.9616279195	0.2499890965
607	0.9617116854	0.2497231534
608	0.9617528899	0.2495811427
609	0.9618214678	0.2494054688
610	0.9618214678	0.2494054652
611	0.9618596321	0.2492674779
612	0.9619190914	0.2490367298
613	0.9619273213	0.2490003809
614	0.9620044646	0.2487902959
615	0.9620522019	0.2486493994
616	0.9621385423	0.2483644325
617	0.9622068236	0.2481493984
618	0.9622520404	0.2480033446
619	0.9623203239	0.24778959
620	0.9623551937	0.2476874633
621	0.962422851	0.2474557983
622	0.9624803973	0.2472585513
623	0.9625387845	0.2470696846
624	0.9625728389	0.2469693168
625	0.9626132413	0.2468599461
626	0.9626789376	0.2466622538
627	0.9627387711	0.2464578503
628	0.9628235909	0.2462232792
629	0.962878032	0.2460709529
630	0.962937879	0.2459092757
631	0.9629837687	0.2457680347
632	0.9630315866	0.2456475073
633	0.9630942482	0.2454357342
634	0.9631571258	0.2452194037
635	0.9632234442	0.2450239354
636	0.963308274	0.2447631424
637	0.963375302	0.2444990033
638	0.9634067511	0.2443747853
639	0.963476521	0.2442193786
640	0.9635475497	0.2439776403
641	0.9635984572	0.2437914844
642	0.9636243948	0.2437058416
643	0.9636906558	0.2434629058
644	0.9637526626	0.2432346565
645	0.9638047696	0.2430819201
646	0.9638481592	0.242938815
647	0.9638889279	0.2427580584
648	0.9639440034	0.2425655577
649	0.9639926177	0.242448178
650	0.9640604272	0.2422139059
651	0.9640729556	0.2421381715
652	0.9641522727	0.2418336825
653	0.9642430512	0.2415545713
654	0.9642822698	0.2414171765
655	0.9643889381	0.2410880669
656	0.9644077759	0.2410156683
657	0.9644984432	0.2407717729
658	0.9645641112	0.2405112344
659	0.9646274768	0.2402784379
660	0.9646496449	0.2402208894
661	0.9647450836	0.2399367789
662	0.9648037856	0.2397363756
663	0.9648361854	0.2396321778
664	0.9648880384	0.2394921342
665	0.9649252619	0.2393543971
666	0.9649588767	0.2392557428
667	0.9650294107	0.2390538368
668	0.9651284399	0.2387448895
669	0.9651568816	0.2386754858
670	0.9652310818	0.238427764
671	0.9652727946	0.2382991634
672	0.9653447903	0.2380577093
673	0.965418276	0.2378308104
674	0.9655003305	0.237564535
675	0.9655524063	0.2373786634
676	0.9656416486	0.2370958198
677	0.9657056259	0.236901783
678	0.96576454	0.2367280004
679	0.9658115535	0.2365835625
680	0.9658761297	0.2363775257
681	0.9659229761	0.236251177
682	0.9659771925	0.2360942726
683	0.9660570413	0.2358302149
684	0.9660963802	0.2357021441
685	0.9661582927	0.2355247394
686	0.9662262147	0.2352945138
687	0.9662903465	0.2350273658
688	0.9663336335	0.234889086
689	0.9663644973	0.2347920804
690	0.9664223698	0.234632548
691	0.9664548512	0.234511906
692	0.966515953	0.2342898857
693	0.966594568	0.2340349771
694	0.9666500165	0.2338680896
695	0.9666798095	0.2337566396
696	0.9667475779	0.2335446341
697	0.9668041895	0.2333528744
698	0.9668485579	0.2332124775
699	0.9668835529	0.2330828239
700	0.9669197267	0.2329362665
701	0.96696658	0.2328099192
702	0.9670106678	0.2326884462
703	0.967089819	0.2324132645
704	0.9671458814	0.232219884
705	0.9672224905	0.2319586058
706	0.9672806918	0.2317397083
707	0.9673241148	0.2316140887
708	0.9673767307	0.2314594263
709	0.9674167462	0.2313360633
710	0.9674515144	0.2312102771
711	0.9674980678	0.2310527207
712	0.9675689344	0.2308044618
713	0.9676020303	0.2306859503
714	0.9676670414	0.2304565262
715	0.9677196556	0.2302630806
716	0.9677676449	0.2301017646
717	0.9678166472	0.2299120992
718	0.9678444802	0.2297802616
719	0.9678866126	0.229661113
720	0.9679542472	0.2294501746
721	0.9680089713	0.2292358621
722	0.9680606096	0.2291068891
723	0.9681047803	0.2289610889
724	0.9681588878	0.2287648951
725	0.9682187234	0.228509495
726	0.9682506052	0.2283883152
727	0.968308457	0.2281774785
728	0.9683631409	0.2279780779
729	0.9684138392	0.2277680857
730	0.9684605908	0.2276113205
731	0.9685018867	0.2274480972
732	0.968555078	0.2272958716
733	0.9686424842	0.2270009142
734	0.9686752558	0.2268303381
735	0.9687312846	0.2266146398
736	0.9687835209	0.2264444123
737	0.9688185135	0.2263372131
738	0.9688645728	0.2261874873
739	0.9689402093	0.2259637613
740	0.9689889974	0.2257924055
741	0.9690540109	0.225545702
742	0.9690872987	0.2254235429
743	0.969127832	0.2252775211
744	0.9691832696	0.2250609812
745	0.969243825	0.2249146058
746	0.9692722659	0.2248173352
747	0.9693252483	0.2246619717
748	0.9693694972	0.2245083007
749	0.9694211527	0.2243387569
750	0.969446813	0.2242300904
751	0.9694963148	0.2240512579
752	0.969533592	0.2239376858
753	0.9695870033	0.2237961478
754	0.9696393329	0.2236028536
755	0.9697105067	0.2233127464
756	0.9697535506	0.2231734962
757	0.9697866456	0.223031908
758	0.9698297577	0.2228981358
759	0.969878702	0.2226917791
760	0.9699624138	0.2224157449
761	0.9700137763	0.2222285427
762	0.9700433881	0.2221207944
763	0.9700927666	0.2219936855
764	0.9701303263	0.2218509807
765	0.9702072516	0.221602816
766	0.9702430182	0.2214832102
767	0.9703124105	0.2211677364
768	0.97034914	0.2210068481
769	0.970390629	0.2208702856
770	0.9704280161	0.2207083875
